EILP,ILCp
Mycn,Ets1
Nfil3,Maf
Tcf7,Lmo4
Zbtb16,Zfp36l1
Cited4,Tcf7
Rorc,Zbtb16
Rora,Cited4
Tox2,Rorc
Id2,Rora
Bcl11b,Tox2
Rxrg,Id2
Lef1,Bcl11b
Tox,Rxrg
Hes1,Lef1
Ikzf2,Tox
Gata3,Hes1
Rarg,Ikzf2
Pglyrp1,Gata3
Cttn,Rarg
Perp,Dbn1
Itga4,Ccl5
Cd63,Itgb7
Itga2b,Megf10
Serpine2,Igfbp7
Il12rb2,Cxcr5
Il17rb,Spon2
Il2rb,Itgb3
Irak2,Cd226
Cd7,Ccr2
trbc1,Spock2
Trbj1-1,Lpxn
Tcrg-C2,Adam12
Tcrg-C4,Cxcr6
Nt5e,Il17re
Themis,Il7r
Tcrg-C1,Il18r1
Tcrg-V4,Il27ra
itk,Prkcq
Pdcd1,Thy1
Trat1,Cd7
,trbc1
,Trbj1-1
,Tcrg-C2
,Tcrg-C4
,Nt5e
,Themis
,Tcrg-C1
,Tcrg-V4
,itk
,Pdcd1
,Trat1